locality,municipality,state,postcode,lat,long,bnelat,bnelong,bswlat,bswlong
"Allawah","Kogarah City Council","New South Wales",2218,-33.974900,151.116700,-33.968480,151.120517,-33.977189,151.108172
"Allgomera","Nambucca Shire Council","New South Wales",2441,-30.813417,152.837454,-30.744691,152.880376,-30.892796,152.731233
"Allworth","Great Lakes Council","New South Wales",2425,-32.550000,151.950000,-32.519760,151.971686,-32.569102,151.909140
"Allynbrook","Dungog Shire Council","New South Wales",2311,-32.348391,151.530416,-32.315782,151.596761,-32.384170,151.505863
"Alstonvale","Ballina Shire Council","New South Wales",2477,-28.806110,153.445280,-28.777476,153.465606,-28.811850,153.423405
"Alstonville","Ballina Shire Council","New South Wales",2477,-28.840865,153.449584,-28.809071,153.489359,-28.870261,153.405468
"Alumy Creek","Clarence Valley Council","New South Wales",2460,-29.641834,152.958842,-29.626203,152.980564,-29.658717,152.934636
"Ambarvale","Campbelltown City Council","New South Wales",2560,-34.083330,150.800670,-34.079631,150.807980,-34.098216,150.780715
"Angledale","Bega Valley Shire Council","New South Wales",2550,-36.631667,149.884444,-36.609126,149.915771,-36.658006,149.820825
"Anglers Reach","Snowy River Shire Council","New South Wales",2629,-36.018181,148.707616,-35.991056,148.714715,-36.030219,148.641669
"Angourie","Clarence Valley Council","New South Wales",2464,-29.479167,153.359444,-29.451671,153.368812,-29.486458,153.342099
"Anna Bay","Port Stephens Council","New South Wales",2316,-32.766667,152.083333,-32.742667,152.113486,-32.789718,152.035818
"Annandale (NSW)","","New South Wales",2038,-33.881400,151.170700,-33.871099,151.177333,-33.888282,151.162100
"Annangrove","The Hills Shire Council","New South Wales",2156,-33.652550,150.940960,-33.627947,150.980124,-33.682967,150.923007
"Appin (NSW)","Wollondilly Shire Council","New South Wales",2560,-34.200000,150.783333,-34.163839,150.897928,-34.259837,150.719135
"Apsley (NSW)","Wellington Council","New South Wales",2820,-32.606210,148.960756,-32.576616,149.000670,-32.647776,148.926412
"Arakoon","Kempsey Shire Council","New South Wales",2431,-30.905691,153.064461,-30.875000,153.090386,-30.961523,153.035902
"Araluen (NSW)","Palerang Council","New South Wales",2622,-35.621837,149.811484,-35.571529,149.922231,-35.717032,149.728631
"Arcadia (NSW)","The Council of the Shire of Hornsby","New South Wales",2159,-33.624290,151.044550,-33.577852,151.109617,-33.635767,151.026638
"Arcadia Vale","Lake Macquarie City Council","New South Wales",2283,-33.062000,151.587000,-33.050827,151.588446,-33.065840,151.565243
"Arding","Uralla Shire Council","New South Wales",2358,-30.572526,151.539620,-30.530240,151.578350,-30.614224,151.463800
"Ardlethan","","New South Wales",2665,-34.350000,146.900000,-34.128163,146.956659,-34.541005,146.728298
"Argenton","Lake Macquarie City Council","New South Wales",2284,-32.935558,151.628969,-32.927505,151.642503,-32.943027,151.621601
"Argents Hill","Nambucca Shire Council","New South Wales",2449,-30.615856,152.800566,-30.580723,152.841795,-30.637007,152.614751
"Ariah Park","","New South Wales",2665,-34.402594,147.262453,-34.161693,147.320894,-34.448842,147.082800
"Armatree","Gilgandra Shire Council","New South Wales",2828,-31.425002,148.513322,-31.344343,148.714795,-31.564463,148.281382
"Armidale","Armidale Dumaresq Council","New South Wales",2350,-30.501562,151.666199,-30.417210,151.775605,-30.583966,151.559182
"Arncliffe","Rockdale City Council","New South Wales",2205,-33.936323,151.143233,-33.930354,151.161220,-33.946889,151.129702
"Arndell Park","Blacktown City Council","New South Wales",2148,-33.790000,150.876000,-33.782680,150.897981,-33.798045,150.871264
"Arrawarra","Coffs Harbour City Council","New South Wales",2456,-30.052930,153.191172,-30.037856,153.199156,-30.066056,153.183572
"Arrawarra Headland","Coffs Harbour City Council","New South Wales",2456,-30.068611,153.195278,-30.057678,153.207748,-30.076600,153.183206
"Artarmon","Willoughby City Council","New South Wales",2064,-33.808940,151.182920,-33.801448,151.194488,-33.822482,151.175419
"Ashbury","","New South Wales",2193,-33.899710,151.119931,-33.895521,151.125578,-33.906722,151.109965
"Ashby (NSW)","Clarence Valley Council","New South Wales",2463,-29.447137,153.185540,-29.414426,153.204575,-29.466517,153.164641
"Ashby Heights","Clarence Valley Council","New South Wales",2463,-29.398333,153.176111,-29.344430,153.215114,-29.429323,153.143487
"Ashcroft","Liverpool City Council","New South Wales",2168,-33.914470,150.898739,-33.909483,150.907749,-33.923091,150.894253
"Ashfield (NSW)","The Council of the Municipality of Ashfield","New South Wales",2131,-33.888900,151.124900,-33.874190,151.138815,-33.904777,151.116073
"Ashford (NSW)","Inverell Shire Council","New South Wales",2361,-29.323056,151.092500,-29.136113,151.353344,-29.446419,150.980243
"Ashley","Blacktown City Council","New South Wales",2765,-33.721891,150.842681,0.000000,0.000000,0.000000,0.000000
"Ashmont","Wagga Wagga City Council","New South Wales",2650,-35.127128,147.332078,-35.114958,147.345415,-35.134065,147.318746
"Ashtonfield","Maitland City Council","New South Wales",2323,-32.766667,151.600000,-32.764121,151.620756,-32.792192,151.581710
"Asquith","The Council of the Shire of Hornsby","New South Wales",2077,-33.689000,151.105000,-33.679247,151.137973,-33.697434,151.101410
"Attunga","Tamworth Regional Council","New South Wales",2345,-30.929444,150.845000,-30.829732,150.974905,-30.969140,150.699299
"Auburn (NSW)","Auburn City Council","New South Wales",2144,-33.865630,151.023600,-33.834392,151.044643,-33.881276,151.011856
"Austinmer","Wollongong City Council","New South Wales",2515,-34.306311,150.934510,-34.292190,150.943092,-34.311795,150.908977
"Austral","Liverpool City Council","New South Wales",2179,-33.931090,150.793610,-33.896741,150.831104,-33.952023,150.786634
"Avalon (NSW)","Pittwater Council","New South Wales",2107,-33.630284,151.329770,-33.614211,151.343900,-33.643230,151.311501
"Avoca Beach","Gosford City Council","New South Wales",2251,-33.465000,151.435000,-33.459127,151.444024,-33.481914,151.412562
"Awaba","Lake Macquarie City Council","New South Wales",2283,-33.009878,151.544993,-32.989904,151.568772,-33.057728,151.514083
"Aylmerton","Wingecarribee Shire Council","New South Wales",2575,-34.418435,150.492130,-34.413706,150.512233,-34.434640,150.483229
"Baan Baa","Narrabri Shire Council","New South Wales",2390,-30.595594,149.955866,-30.477735,150.049164,-30.662567,149.827875
"Backmede","Richmond Valley Council","New South Wales",2470,-28.785995,153.025311,-28.721856,153.050779,-28.801003,152.997063
"Badgerys Creek","","New South Wales",2555,-33.882877,150.760850,-33.850509,150.776060,-33.912816,150.712230
"Balaclava (NSW)","Wingecarribee Shire Council","New South Wales",2575,-34.441301,150.471431,-34.432974,150.498355,-34.446898,150.466986
"Balala","Uralla Shire Council","New South Wales",2358,-30.608623,151.289675,-30.508369,151.419960,-30.728487,151.146679
"Balcolyn","Lake Macquarie City Council","New South Wales",2264,-33.095931,151.555944,-33.088906,151.559637,-33.100450,151.543294
"Bald Hills (NSW)","Bega Valley Shire Council","New South Wales",2549,-36.915121,149.846843,-36.894677,149.873867,-36.925963,149.815298
"Balgowlah","Manly Council","New South Wales",2093,-33.796450,151.258540,-33.786652,151.270076,-33.802406,151.252351
"Balgowlah Heights","Manly Council","New South Wales",2093,-33.807223,151.264165,-33.800476,151.275216,-33.815372,151.255767
"Balgownie","Yarra Ranges Shire","Victoria",3775,-37.632193,145.400362,0.000000,0.000000,0.000000,0.000000
"Balladoran","Gilgandra Shire Council","New South Wales",2831,-31.782642,148.643884,-31.728714,148.752938,-31.992311,148.437692
"Ballimore","","New South Wales",2830,-32.172594,148.915973,-32.059619,148.973149,-32.273833,148.799254
"Ballina","Ballina Shire Council","New South Wales",2478,-28.837965,153.562907,-28.795479,153.583314,-28.875265,153.532588
"Balmain","Leichhardt Municipal Council","New South Wales",2041,-33.858950,151.179060,-33.852483,151.192721,-33.864172,151.168667
"Balmain East","Leichhardt Municipal Council","New South Wales",2041,-33.858110,151.190170,-33.854246,151.196573,-33.860051,151.188347
"Balmoral (Lake Macquarie - NSW)","Lake Macquarie City Council","New South Wales",2283,-33.044867,151.579308,-33.041719,151.589408,-33.050803,151.571276
"Balmoral (Wingecarribee - NSW)","Wingecarribee Shire Council","New South Wales",2571,-34.315278,150.517778,-34.269518,150.549422,-34.334167,150.483543
"Balranald","Balranald Shire Council","New South Wales",2715,-34.636706,143.561581,-33.825987,143.807847,-34.833595,142.970675
"Bandon Grove","Dungog Shire Council","New South Wales",2420,-32.256833,151.712988,-32.224215,151.747123,-32.327386,151.630736
"Bangalee (NSW)","Shoalhaven City Council","New South Wales",2541,-34.844346,150.564656,-34.828674,150.574829,-34.855276,150.524538
"Bangalow","Byron Shire Council","New South Wales",2479,-28.686430,153.522467,-28.644245,153.550085,-28.717000,153.497849
"Bangheet","Gwydir Shire Council","New South Wales",2404,-29.912259,150.351629,-29.745087,150.510332,-29.926966,150.335731
"Bangor (NSW)","Sutherland Shire Council","New South Wales",2234,-34.019080,151.027350,-34.005342,151.048355,-34.028080,151.018858
"Banksia","Rockdale City Council","New South Wales",2216,-33.947760,151.148060,-33.942550,151.157347,-33.950415,151.133381
"Banksmeadow","The Council of the City of Botany Bay","New South Wales",2019,-33.957310,151.206990,-33.942182,151.223691,-33.969880,151.206052
"Bankstown","Bankstown City Council","New South Wales",2200,-33.918170,151.034970,-33.903853,151.051796,-33.936034,151.011151
"Bankstown Aerodrome","Bankstown City Council","New South Wales",2200,-33.924593,150.997662,0.000000,0.000000,0.000000,0.000000
"Bannaby","Upper Lachlan Shire Council","New South Wales",2580,-34.412906,149.908087,-34.332623,150.123226,-34.484002,149.865856
"Bannister (NSW)","Upper Lachlan Shire Council","New South Wales",2580,-34.602161,149.492962,-34.558099,149.586883,-34.666647,149.410354
"Banora Point","Tweed Shire Council","New South Wales",2486,-28.223333,153.538056,-28.205331,153.562813,-28.243451,153.503982
"Bar Beach","Newcastle City Council","New South Wales",2300,-32.940000,151.767778,-32.934173,151.774006,-32.944486,151.763405
"Bar Point","Gosford City Council","New South Wales",2083,-33.512577,151.162290,-33.472768,151.196031,-33.523579,151.149508
"Baradine","Warrumbungle Shire Council","New South Wales",2396,-30.950000,149.066667,-30.800774,149.363444,-31.086139,149.011139
"Barangaroo","","New South Wales",2000,-33.863794,151.202230,-33.855263,151.203181,-33.865842,151.200014
"Barcoongere","","New South Wales",2460,-29.900393,153.202336,-29.789539,153.276762,-29.989064,153.126775
"Barden Ridge","Sutherland Shire Council","New South Wales",2234,-34.032000,151.010000,-34.023292,151.021113,-34.047029,150.987142
"Bardwell Park","Rockdale City Council","New South Wales",2207,-33.935390,151.125410,-33.930324,151.133605,-33.941189,151.116954
"Bardwell Valley","Rockdale City Council","New South Wales",2207,-33.937000,151.133000,-33.931758,151.138331,-33.943117,151.122656
"Barellan","","New South Wales",2665,-34.285070,146.569706,-34.007523,146.790665,-34.384997,146.424225
"Bargo","","New South Wales",2574,-34.300000,150.583333,-34.236503,150.634619,-34.337564,150.539239
"Barham","The Council of the Shire of Wakool","New South Wales",2732,-35.624967,144.138607,-35.440584,144.355387,-35.770382,144.026086
"Barkers Vale","Kyogle Council","New South Wales",2474,-28.537986,153.114855,-28.490862,153.154522,-28.574624,153.091540
"Barmedman","","New South Wales",2668,-34.148749,147.385679,-33.989778,147.636079,-34.254427,147.219798
"Barnsley","South Yorkshire","England",,53.552630,-1.479726,53.601337,-1.368343,53.527157,-1.528237
"Barooga","Berrigan Shire Council","New South Wales",3644,-35.905081,145.694246,-35.852604,145.782712,-35.966368,145.614842
"Barraba","","New South Wales",2347,-30.374411,150.617623,-30.235167,150.750250,-30.537385,150.395543
"Barrack Heights","Shellharbour City Council","New South Wales",2528,-34.565000,150.856944,-34.555308,150.867194,-34.570731,150.842512
"Barrack Point","Shellharbour City Council","New South Wales",2528,-34.562539,150.870386,-34.559582,150.875461,-34.567029,150.865050
"Barrengarry","Shoalhaven City Council","New South Wales",2577,-34.683333,150.516667,-34.639060,150.567629,-34.734168,150.481933
"Barrington (NSW)","Gloucester Shire Council","New South Wales",2422,-31.971283,151.909622,-31.943373,151.949733,-32.052359,151.852253
"Barry (Blayney - NSW)","Blayney Shire Council","New South Wales",2799,-33.645917,149.270034,-33.612309,149.311080,-33.685358,149.233163
"Basin View","Shoalhaven City Council","New South Wales",2540,-35.091667,150.566667,-35.076318,150.579851,-35.109166,150.536741
"Bass Hill","Bankstown City Council","New South Wales",2197,-33.900920,150.994900,-33.888593,151.008373,-33.912623,150.977809
"Bateau Bay","Wyong Shire Council","New South Wales",2261,-33.382000,151.485000,-33.368793,151.488687,-33.400937,151.453738
"Batehaven","Eurobodalla Shire Council","New South Wales",2536,-35.733333,150.200000,-35.723651,150.209743,-35.747324,150.187442
"Batemans Bay","Eurobodalla Shire Council","New South Wales",2536,-35.714387,150.179471,-35.664557,150.210242,-35.752088,150.123661
"Bathurst","Bathurst Regional Council","New South Wales",2795,-33.419282,149.577501,-33.403692,149.594663,-33.434257,149.561766
"Batlow","Tumut Council","New South Wales",2730,-35.516667,148.150000,-35.446446,148.210695,-35.667876,148.063351
"Baulkham Hills","","New South Wales",2153,-33.762880,150.992120,-33.719680,151.010438,-33.773087,150.955356
"Baw Baw (NSW)","Goulburn Mulwaree Council","New South Wales",2580,-34.709151,149.633390,-34.660282,149.692096,-34.759932,149.598949
"Bawley Point","Shoalhaven City Council","New South Wales",2539,-35.515625,150.393727,-35.476162,150.407848,-35.539671,150.349436
"Bayview (NSW)","Pittwater Council","New South Wales",2104,-33.658000,151.288000,-33.646825,151.305470,-33.672186,151.274699
"Beacon Hill","Warringah Council","New South Wales",2100,-33.752200,151.256000,-33.742836,151.269700,-33.761729,151.247268
"Beaconsfield (NSW)","Council of the City of Sydney","New South Wales",2015,-33.910960,151.199950,-33.908365,151.202828,-33.914629,151.197988
"Beaumont (NSW)","Shoalhaven City Council","New South Wales",2577,-34.776797,150.576264,-34.757477,150.620207,-34.802112,150.544124
"Beaumont Hills","The Hills Shire Council","New South Wales",2155,-33.700000,150.941000,-33.687257,150.955606,-33.708439,150.928802
"Beckom","","New South Wales",2665,-34.307428,146.984948,-34.139261,147.107652,-34.433056,146.904400
"Bedgerebong","Forbes Shire Council","New South Wales",2871,-33.359491,147.701296,-33.212463,147.804564,-33.405870,147.549516
"Beechwood","Port Macquarie-Hastings Council","New South Wales",2446,-31.442718,152.664796,-31.423246,152.705916,-31.467220,152.644748
"Beecroft","The Council of the Shire of Hornsby","New South Wales",2119,-33.751800,151.063300,-33.741024,151.080139,-33.766367,151.047473
"Beecroft Peninsula","Shoalhaven City Council","New South Wales",2540,-35.051340,150.808332,0.000000,0.000000,0.000000,0.000000
"Beelbangera","Griffith City Council","New South Wales",2680,-34.249129,146.104831,-34.207568,146.139975,-34.269026,146.074567
"Bega","Bega Valley Shire Council","New South Wales",2550,-36.688910,149.841640,-36.645149,149.875513,-36.726460,149.809418
"Belbora","","New South Wales",2422,-31.994883,152.150541,-31.910307,152.244147,-32.048360,152.115292
"Belfield","","New South Wales",2191,-33.905000,151.084000,-33.897149,151.095306,-33.912023,151.077085
"Belgravia","Greater London","England",,51.498227,-0.153549,51.502852,-0.145612,51.487058,-0.160230
"Belimbla Park","Wollondilly Shire Council","New South Wales",2570,-34.085675,150.538542,-34.072142,150.550264,-34.094806,150.526649
"Bella Vista","The Hills Shire Council","New South Wales",2153,-33.742000,150.955000,-33.726369,150.966945,-33.758363,150.942334
"Bellambi","Wollongong City Council","New South Wales",2518,-34.366667,150.916667,-34.360715,150.931372,-34.377916,150.899173
"Bellangry","Port Macquarie-Hastings Council","New South Wales",2446,-31.336314,152.606772,-31.286330,152.655577,-31.366565,152.505919
"Bellata","","New South Wales",2397,-29.901909,149.788398,-29.774935,150.072448,-30.066418,149.479350
"Bellawongarah","Shoalhaven City Council","New South Wales",2535,-34.762288,150.616897,-34.734837,150.653861,-34.783544,150.587977
"Bellbird","Casey City","Victoria",3975,-38.040300,145.247586,0.000000,0.000000,0.000000,0.000000
"Bellbird Heights","Cessnock City Council","New South Wales",2325,-32.848015,151.330499,-32.843467,151.336613,-32.853252,151.325232
"Bellbrook","Kempsey Shire Council","New South Wales",2440,-30.806190,152.509860,-30.562786,152.594738,-30.911093,152.372681
"Bellevue Hill","Woollahra Municipal Council","New South Wales",2023,-33.881010,151.252530,-33.869930,151.267792,-33.889434,151.244857
"Bellingen","Bellingen Shire Council","New South Wales",2454,-30.452242,152.897957,-30.408735,152.952052,-30.499313,152.832754
"Belmont (NSW)","Lake Macquarie City Council","New South Wales",2280,-33.037000,151.660000,-33.015469,151.716786,-33.048528,151.640309
"Belmont North","Lake Macquarie City Council","New South Wales",2280,-33.015000,151.668000,-32.999686,151.688349,-33.027243,151.656842
"Belmont South","Lake Macquarie City Council","New South Wales",2280,-33.052141,151.661111,-33.042505,151.674515,-33.064098,151.649214
"Belmore","Canterbury City Council","New South Wales",2192,-33.917520,151.087820,-33.907522,151.099813,-33.931457,151.076543
"Belmore River","Kempsey Shire Council","New South Wales",2440,-31.091968,152.974291,-31.031701,153.031226,-31.140401,152.916222
"Belrose","Warringah Council","New South Wales",2085,-33.730000,151.220000,-33.700757,151.237928,-33.742323,151.185585
"Bemboka","Bega Valley Shire Council","New South Wales",2550,-36.624474,149.563517,-36.526375,149.737293,-36.705205,149.396904
"Ben Lomond (NSW)","","New South Wales",2365,-30.021015,151.659223,-29.922424,151.836127,-30.089491,151.495249
"Bendalong","Shoalhaven City Council","New South Wales",2539,-35.219147,150.486380,-35.209336,150.545416,-35.255150,150.458732
"Bendemeer","Tamworth Regional Council","New South Wales",2355,-30.869779,151.151243,-30.629697,151.310782,-30.977753,151.044380
"Bendick Murrell","Young Shire Council","New South Wales",2803,-34.165000,148.451111,-34.122507,148.522170,-34.250813,148.373994
"Bendolba","Dungog Shire Council","New South Wales",2420,-32.335339,151.730527,-32.299898,151.756652,-32.398766,151.705364
"Benerembah","","New South Wales",2680,-34.559369,145.873030,-34.218976,145.950415,-34.579948,145.706659
"Beni","Sutherland Shire Council","New South Wales",2230,-34.054618,151.151843,0.000000,0.000000,0.000000,0.000000
"Bensville","Gosford City Council","New South Wales",2251,-33.498611,151.384722,-33.482295,151.407490,-33.511660,151.373400
"Bentley (NSW)","","New South Wales",2480,-28.751024,153.086146,-28.709359,153.147931,-28.802983,153.042447
"Berala","Auburn City Council","New South Wales",2141,-33.874870,151.030730,-33.863705,151.042009,-33.885309,151.025118
"Berambing","","New South Wales",2758,-33.533400,150.443800,-33.520916,150.467447,-33.544446,150.430334
"Beresfield","Newcastle City Council","New South Wales",2322,-32.799000,151.635000,-32.789353,151.665392,-32.816338,151.622287
"Bergalia","Eurobodalla Shire Council","New South Wales",2537,-35.996185,150.122921,-35.954142,150.131678,-36.008386,150.047557
"Berkeley","Alameda County","California",,37.871593,-122.272747,37.905824,-122.234179,37.835727,-122.367781
"Berkeley Vale","Wyong Shire Council","New South Wales",2261,-33.340000,151.435000,-33.320534,151.449804,-33.362164,151.400845
"Berkshire Park","Penrith City Council","New South Wales",2765,-33.688600,150.781650,-33.641541,150.812283,-33.695288,150.739198
"Bermagui","Bega Valley Shire Council","New South Wales",2546,-36.443370,150.061362,-36.384394,150.084157,-36.469511,149.993708
"Berowra","The Council of the Shire of Hornsby","New South Wales",2081,-33.625620,151.146760,-33.611490,151.177165,-33.644636,151.129623
"Berowra Creek","The Council of the Shire of Hornsby","New South Wales",,-33.611822,151.122129,-33.502818,151.186933,-33.720826,151.057325
"Berowra Heights","The Council of the Shire of Hornsby","New South Wales",2082,-33.613340,151.138000,-33.581314,151.153367,-33.621719,151.118673
"Berrambool","Bega Valley Shire Council","New South Wales",2548,-36.879778,149.908925,-36.876207,149.916029,-36.885533,149.904513
"Berrara","Shoalhaven City Council","New South Wales",2540,-35.206926,150.551599,-35.201554,150.557002,-35.211126,150.540856
"Berridale","Snowy River Shire Council","New South Wales",2628,-36.379417,148.843534,-36.287731,148.935245,-36.468811,148.711722
"Berrigan","","New South Wales",2712,-35.665884,145.806461,-35.489010,145.997160,-35.811531,145.659480
"Berrilee","The Council of the Shire of Hornsby","New South Wales",2159,-33.615470,151.098110,-33.586759,151.124348,-33.629023,151.085531
"Berrima","Wingecarribee Shire Council","New South Wales",2577,-34.483333,150.350000,-34.415849,150.385992,-34.519828,150.278676
"Berry","Shoalhaven City Council","New South Wales",2535,-34.775278,150.693889,-34.758862,150.781766,-34.840084,150.665375
"Bethungra","Junee Shire Council","New South Wales",2590,-34.766667,147.850000,-34.646503,147.949960,-34.885165,147.702736
"Beverley Park","Kogarah City Council","New South Wales",2217,-33.978970,151.128500,-33.970514,151.136756,-33.984020,151.124445
"Beverly Hills","Los Angeles County","California",,34.073620,-118.400356,34.112432,-118.372027,34.052666,-118.427041
"Bexhill","East Sussex","England",,50.849906,0.466207,50.863108,0.507538,50.831516,0.412824
"Bexley","Rockdale City Council","New South Wales",2207,-33.956800,151.126210,-33.940073,151.134414,-33.964666,151.102071
"Bexley North","Rockdale City Council","New South Wales",2207,-33.941800,151.111400,-33.935871,151.122909,-33.949159,151.107680
"Bibbenluke","Bombala Council","New South Wales",2632,-36.798906,149.359697,-36.759448,149.377483,-36.854394,149.236717
"Biddon","Gilgandra Shire Council","New South Wales",2827,-31.565120,148.810503,-31.460246,148.917534,-31.645930,148.663430
"Bidwill (NSW)","Blacktown City Council","New South Wales",2770,-33.731556,150.823142,-33.724561,150.831067,-33.735531,150.810244
"Big Springs","Wagga Wagga City Council","New South Wales",2650,-35.125299,147.399451,0.000000,0.000000,0.000000,0.000000
"Bigga","Upper Lachlan Shire Council","New South Wales",2583,-34.080768,149.221187,-33.888119,149.260901,-34.215623,149.002911
"Bilambil","Tweed Shire Council","New South Wales",2486,-28.233333,153.466667,-28.210741,153.503982,-28.238245,153.443562
"Bilambil Heights","Tweed Shire Council","New South Wales",2486,-28.215576,153.484295,-28.193244,153.505839,-28.226975,153.463404
"Bilbul","Griffith City Council","New South Wales",2680,-34.275000,146.150000,-34.242415,146.228866,-34.325518,146.084585
"Bilgola","Pittwater Council","New South Wales",2107,-33.644486,151.327583,-33.641531,151.334362,-33.648021,151.321337
"Billinudgel","Byron Shire Council","New South Wales",2483,-28.503589,153.515702,-28.486742,153.532152,-28.523946,153.495105
"Billywillinga","Bathurst Regional Council","New South Wales",2795,-33.298858,149.439133,-33.213768,149.481441,-33.359249,149.393410
"Bilpin","Hawkesbury City Council","New South Wales",2758,-33.500000,150.533333,-33.351485,150.665417,-33.538433,150.444868
"Binalong","Yass Valley Council","New South Wales",2584,-34.674616,148.631376,-34.535578,148.771638,-34.780662,148.563270
"Binda","Upper Lachlan Shire Council","New South Wales",2583,-34.326222,149.380730,-34.200718,149.445341,-34.414575,149.129960
"Bingara","Gwydir Shire Council","New South Wales",2404,-29.870408,150.565052,-29.732232,150.684235,-29.936167,150.456312
"Bingie","Eurobodalla Shire Council","New South Wales",2537,-36.012567,150.147409,-35.990352,150.164673,-36.052232,150.125753
"Biniguy","","New South Wales",2399,-29.488372,150.115226,-29.458266,150.245068,-29.701863,150.028824
"Binjura","Cooma-Monaro Council","New South Wales",2630,-36.177462,149.109916,-36.136922,149.143859,-36.211862,149.074421
"Binna Burra (NSW)","Byron Shire Council","New South Wales",2479,-28.704188,153.492103,-28.689816,153.515854,-28.732735,153.465619
"Binnaway","Warrumbungle Shire Council","New South Wales",2395,-31.550000,149.383333,-31.428777,149.563259,-31.738073,149.241043
"Binya","","New South Wales",2665,-34.096534,146.291267,-33.959318,146.476618,-34.348377,146.151028
"Birchgrove","Leichhardt Municipal Council","New South Wales",2041,-33.852750,151.180240,-33.845988,151.190568,-33.855537,151.175614
"Birmingham Gardens","Newcastle City Council","New South Wales",2287,-32.893690,151.690335,-32.888525,151.696557,-32.897199,151.681470
"Birrong","Bankstown City Council","New South Wales",2143,-33.893000,151.023000,-33.886095,151.028111,-33.897523,151.013895
"Bishops Bridge","","New South Wales",2326,-32.745509,151.472734,-32.730214,151.513145,-32.764534,151.420032
"Bithramere","Tamworth Regional Council","New South Wales",2340,-31.152572,150.765742,-31.080158,150.822579,-31.188302,150.735427
"Black Head","Greater Taree City Council","New South Wales",2430,-32.070537,152.535552,-32.063326,152.548838,-32.079336,152.521556
"Black Hill (NSW)","","New South Wales",2322,-32.840000,151.612000,-32.800257,151.675459,-32.853264,151.558452
"Black Mountain (NSW)","","New South Wales",2365,-30.315347,151.672069,-30.256755,151.810080,-30.401588,151.568205
"Black Springs (NSW)","Oberon Council","New South Wales",2787,-33.860208,149.736468,-33.780224,149.805887,-33.931853,149.640254
"Blackalls Park","Lake Macquarie City Council","New South Wales",2283,-33.001000,151.587000,-32.989566,151.594896,-33.010168,151.561916
"Blackbutt (NSW)","Shellharbour City Council","New South Wales",2529,-34.571667,150.838333,-34.565399,150.862860,-34.577345,150.822148
